Niveles de cuantificación,MSE,SNR (dB)
2,0.22995017748639093,-2.302997682651324
4,0.05753911531047389,3.7137080071946986
8,0.01337717172067162,10.049696787782834
16,0.0032851472771437485,16.147791365724984
32,0.000998596861147841,21.31943784234378
64,0.0005664806324569245,23.781489145996485
128,0.0005053994079276268,24.276992520432003
256,0.0005151423286264967,24.194067440512164
