Frecuencia de muestreo,fs (Hz),Error espectral
0.25·fs,4000.0,0.08262489947418376
0.5·fs,8000.0,0.08273772708352495
0.75·fs,12000.0,0.08345746996322541
1.0·fs,16000.0,0.08296066587206753
1.25·fs,20000.0,0.08381772184033763
1.5·fs,24000.0,0.08347595644713807
1.75·fs,28000.0,0.08328162463674722
2.0·fs,32000.0,0.08296066587204998
